G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
15,  .,   .,   .,9.5,   .,   .,   .,17.4,  .,   .,   .,   .
16,  .,   .,   .,   .,   .,31,   .,   .,  .,   .,3.1,   .
17,  .,   .,   .,   .,   .,3,   .,5,12.8,8.2,29.3,   .
18,1.3,14.1,   .,9.2,   .,   .,   .,0.1,32.1,11.4,   .,28
19,  .,   .,   .,   .,   .,14.5,   .,   .,59.3,   .,41.8,   .
20,  .,114.5,   .,   .,   .,55.4,   .,   .,  .,   .,3.2,   .
21,  .,15.6,3.5,   .,   .,16.8,   .,   .,  .,   .,3.6,   .
22,  .,16.9,27.2,   .,   .,   .,   .,   .,  .,   .,65.8,55.6
23,  .,2.1,13.6,   .,5.9,   .,   .,   .,  .,   .,   .,113
24,  .,4.5,   .,5.8,   .,   .,   .,   .,  .,   .,   .,58.1
25,  .,   .,   .,   .,   .,   .,1.2,   .,33.7,31.5,   .,18.3
26,  .,14.8,   .,   .,   .,   .,   .,   .,44.3,10.6,   .,   .
27,  .,75.3,   .,   .,   .,   .,   .,   .,11.2,   .,15.4,   .
28,  .,   .,   .,   .,   .,   .,   .,   .,14.5,   .,2.1,   .
29,  .,,   .,   .,   .,   .,   .,43.2,  .,   .,43.1,   .
30,9.2,,   .,   .,   .,   .,69.5,   .,  .,   .,   .,   .
31,1,,24.3,,49.5,,   .,4.5,,   .,,   .
2011,,,,,,,,,,,,
1,  .,   .,   .,   .,   .,   .,4.3,   .,  .,   .,   .,   .
2,  .,   .,   .,   .,5.4,   .,   .,   .,  .,   .,   .,   .
3,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,3
4,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,9.8
5,  .,   .,   .,4.8,   .,   .,   .,   .,7,   .,4.2,29.4
6,  .,   .,   .,   .,   .,10.4,5,   .,21.2,   .,   .,22.1
7,16.1,   .,   .,   .,   .,   .,   .,   .,  .,   .,22.8,   .
8,22.4,   .,   .,   .,   .,33.4,   .,13.1,  .,60.5,10,   .
9,15.9,   .,   .,   .,   .,19.8,   .,12.9,  .,   .,   .,   .
10,2.3,   .,   .,   .,   .,6,   .,   .,  .,   .,   .,   .
11,13.1,   .,   .,   .,   .,   .,   .,   .,21.2,   .,   .,   .
12,18.1,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,2
13,  .,   .,   .,28,   .,1,   .,   .,  .,   .,   .,10
14,  .,14.2,67.2,   .,   .,   .,   .,   .,  .,   .,   .,2
15,  .,   .,18.2,   .,   .,   .,   .,   .,5.3,   .,   .,60.7
16,  .,12.1,16.9,   .,33.3,   .,   .,   .,  .,   .,   .,   .
