G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
14,        .,    .,   .,4.5,6.1,0.2,   .,8.5,0.1,0,0.1,   .
15,        .,    .,   .,1.4,3.2,    .,   .,15.2,  .,   .,0,   .
16,        .,0.1,   .,   .,1,41.2,   .,   .,0.1,   .,   .,   .
17,        .,0.4,   .,   .,13.8,    .,   .,   .,41.3,11.2,31.1,   .
18,1.4,10.2,   .,4.6,0,0.8,   .,   .,91.7,16.4,0.8,49.4
19,0,4.1,   .,0,0.4,34.8,   .,   .,59.7,   .,22.8,0.3
20,        .,21,   .,   .,   .,55.7,   .,   .,0.2,   .,0.2,3
21,        .,15.2,4.1,   .,0.4,16.4,   .,   .,  .,3.7,3.8,2.7
22,        .,10.2,22.9,   .,0,1.2,   .,   .,  .,   .,34.5,4.2
23,        .,18.8,19.8,   .,0,0.7,   .,   .,  .,   .,   .,39.6
24,        .,7,   .,3.3,0.3,    .,   .,   .,  .,2.4,1.2,21.4
25,        .,0.3,0.8,0,   .,    .,8.4,   .,18.5,7.7,   .,21.6
26,        .,4.1,   .,   .,   .,4.8,   .,   .,59.8,10.3,   .,0.4
27,0,42.5,0,   .,   .,    .,   .,   .,18.5,   .,22.6,0
28,        .,    .,   .,   .,8.1,    .,   .,   .,23.5,   .,0.1,   .
29,        .,,0,   .,   .,    .,   .,32,0,   .,43.6,   .
30,20.6,,   .,   .,0.2,    .,42.7,   .,0.2,   .,1,   .
31,2.6,,22.9,,51.4,,0.1,6.8,,   .,,   .
2011,,,,,,,,,,,,
1,        .,    .,   .,   .,0.5,    .,0,   .,  .,   .,   .,   .
2,        .,    .,0,   .,2.7,2.8,0.1,1.3,1.3,   .,   .,   .
3,        .,    .,0,   .,   .,1.9,0.5,   .,  .,   .,   .,2.5
4,        .,    .,   .,   .,0.3,0,   .,   .,  .,   .,   .,3.7
5,        .,    .,   .,5.1,   .,    .,1.7,0.3,15.6,   .,1.1,0.9
6,        .,    .,   .,   .,   .,13.8,0.4,   .,14.9,   .,   .,8.5
7,12.4,    .,   .,   .,   .,    .,   .,0,0,1.5,7,   .
8,45.8,    .,   .,   .,   .,28.2,   .,   .,  .,95.9,10.6,   .
9,2.6,    .,   .,   .,0,3.6,   .,1.8,  .,0.1,0,   .
10,0,    .,   .,   .,   .,12.7,   .,   .,  .,   .,   .,0.8
11,7.2,    .,   .,   .,   .,    .,   .,   .,  .,   .,   .,   .
12,2.1,    .,   .,   .,   .,    .,   .,   .,  .,   .,   .,4.8
13,        .,    .,   .,14.3,   .,0.5,   .,   .,  .,   .,   .,5.9
14,        .,15.7,11.7,   .,   .,    .,   .,   .,  .,   .,   .,0.2
15,0,    .,3.5,   .,2.8,    .,   .,   .,  .,   .,   .,19.2
16,0,4.8,3.4,   .,31.2,    .,   .,   .,  .,   .,   .,0.8
17,        .,39.3,113.3,   .,   .,    .,   .,   .,  .,   .,   .,38.5
18,        .,3.4,3.1,   .,   .,    .,0,   .,  .,   .,   .,5.8
19,        .,    .,0.5,   .,   .,0.3,0.4,   .,51.8,   .,   .,0
20,0.1,    .,   .,   .,   .,6.6,6.8,   .,38.3,29.5,   .,0
21,        .,0,   .,   .,   .,    .,5.9,   .,  .,37.9,   .,   .
22,0,    .,   .,   .,0,    .,19,   .,  .,   .,   .,   .
23,0,    .,   .,   .,0,    .,6.1,   .,  .,   .,   .,   .
24,        .,    .,   .,   .,   .,    .,41.5,   .,  .,   .,   .,   .
25,        .,    .,   .,   .,   .,    .,20.7,   .,  .,0.2,   .,0
26,        .,    .,   .,0.7,   .,    .,   .,   .,  .,10.8,   .,   .
27,0.9,    .,0.1,0.2,   .,    .,   .,   .,  .,67.3,   .,   .
28,0.1,0,8.6,0,34,    .,15.7,   .,  .,0,   .,   .
29,        .,,19.9,   .,0,    .,3.8,   .,  .,   .,   .,   .
30,        .,,   .,   .,   .,    .,6.8,   .,  .,   .,   .,6.7
31,        .,,   .,,   .,,1.5,   .,,   .,,0
2012,,,,,,,,,,,,
1,        .,0,   .,   .,   .,0,   .,   .,47.5,0.3,57.7,1
2,        .,0,   .,   .,   .,1.5,   .,   .,5.8,23.6,16.6,0
